"A cronjob is a daemon which continues running and gets activated at a certain interval (time period). Please ensure that your default Magento Cron is working. If not, contact your hosting company for help.","A cronjob is a daemon which continues running and gets activated at a certain interval (time period). Please ensure that your default Magento Cron is working. If not, contact your hosting company for help."
"Add","Add"
"Advanced Settings","Advanced Settings"
"API Details","API Details"
"Attribute","Attribute"
"Brand","Brand"
"Branding","Branding"
"Catalog, Search","Catalog, Search"
"Catalog","Catalog"
"Category","Category"
"CMS Pages","CMS Pages"
"Configurable & Grouped products","Configurable & Grouped products"
"Connect the right attributes for the name and description to export the values to the Sooqr feed. The description will be truncated to a maximum of 5000 characters and stripped from html.","Connect the right attributes for the name and description to export the values to the Sooqr feed. The description will be truncated to a maximum of 5000 characters and stripped from html."
"Cron","Cron"
"Custom Frequency","Custom Frequency"
"Custom JS","Custom JS"
"Custom","Custom"
"Daily","Daily"
"Debug Memory Usage","Debug Memory Usage"
"Description","Description"
"Enable Debugging","Enable Debugging"
"Enable or disable the feed generation for this store view or change the filename.","Enable or disable the feed generation for this store view or change the filename."
"Enable","Enable"
"Enabled","Enabled"
"Every 2 hours","Every 2 hours"
"Every 4 hours","Every 4 hours"
"Every 6 hours","Every 6 hours"
"Every hour","Every hour"
"Example format: 200x300","Example format: 200x300"
"Exclude by Category","Exclude by Category"
"Exclude Out of Stock","Exclude Out of Stock"
"Exclude products that are out of stock in your store.","Exclude products that are out of stock in your store."
"Extra Fields","Extra Fields"
"Feed Generation Settings","Feed Generation Settings"
"Feed Generation","Feed Generation"
"File handler unreachable","File handler unreachable"
"File not found, please generate new feed.","File not found, please generate new feed."
"Filename","Filename"
"Filter by Category","Filter by Category"
"Filter on Visibility","Filter on Visibility"
"Frequency","Frequency"
"Frontend Implementation","Frontend Implementation"
"Frontend Version","Frontend Version"
"General","General"
"Image Size","Image Size"
"Images","Images"
"Include by Category","Include by Category"
"Include or exclude products based on the category.","Include or exclude products based on the category."
"Include or exclude products based on the visibility.","Include or exclude products based on the visibility."
"Limit","Limit"
"Name","Name"
"New","New"
"No","No"
"None / Do not use","None / Do not use"
"Not Visible Individually","Not Visible Individually"
"Only add products with the following Visibility","Only add products with the following Visibility"
"Only recommended for Developers.","Only recommended for Developers."
"Parent HTML node","Parent HTML node"
"Please enable the extension before generating the feed.","Please enable the extension before generating the feed."
"Product Data","Product Data"
"Product Fields","Product Fields"
"Product Filter Options","Product Filter Options"
"Products per Batch","Products per Batch"
"Refurbished","Refurbished"
"Resize Image","Resize Image"
"Search","Search"
"Sku","Sku"
"Sooqr - Feeds","Sooqr - Feeds"
"Sooqr Account ID","Sooqr Account ID"
"Sooqr API Key","Sooqr API Key"
"Sooqr Connect","Sooqr Connect"
"Source","Source"
"Statistics","Statistics"
"Successfully generated a feed with %1 product(s).","Successfully generated a feed with %1 product(s)."
"Token","Token"
"Type of filter","Type of filter"
"Unkown error.","Unkown error."
"Use Parent Product Data for Simple Products","Use Parent Product Data for Simple Products"
"Use the paging function on big catalogs, e.g. catalogs of 50.000 SKU, use 5.000 per page.","Use the paging function on big catalogs, e.g. catalogs of 50.000 SKU, use 5.000 per page."
"Uses","Uses"
"Version 4 (Responsive)","Version 4 (Responsive)"
"Version","Version"
"We can't generate the feed right now.","We can't generate the feed right now."
"We can't save the cron expression.","We can't save the cron expression."
"When your using configurable or grouped products the simple products will be shown in the feed by default. You can choose to pull the information from the parent products. Select the fall-back data for the configurable / grouped products in the multiple-select box below.","When your using configurable or grouped products the simple products will be shown in the feed by default. You can choose to pull the information from the parent products. Select the fall-back data for the configurable / grouped products in the multiple-select box below."
"Write the memory usage to the var/log/sooqr.log file","Write the memory usage to the var/log/sooqr.log file"
"Yes, custom value","Yes, custom value"
"Yes, fixed cached size","Yes, fixed cached size"
"Yes","Yes"
"You can add custom fields to your feed when needed. Please make sure that your using the latest custom fields standards to prevent error messages in the feed. The guidelines for the custom fields can be found right in our knowledgebase.","You can add custom fields to your feed when needed. Please make sure that your using the latest custom fields standards to prevent error messages in the feed. The guidelines for the custom fields can be found right in our knowledgebase."
"You can find your Sooqr Account ID in your Sooqr account, you can find the link in the information box at the top of this page. Your Sooqr Account ID should look like SQ-12345-1.","You can find your Sooqr Account ID in your Sooqr account, you can find the link in the information box at the top of this page. Your Sooqr Account ID should look like SQ-12345-1."
